id,company,year,scope,value,category,source,source_link,notes
89318c63-eb85-416a-a5fb-16ad8f32e49b,Mayr-Melnhof Karton AG,2016,3,,,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1kc8SNxoKvqi4Vn6LQC2k0yoBWedTv6Am/view?usp=drive_link,
f0db7f69-8881-426d-90d3-233c45fc00c3,Immofinanz AG,2017,2,,location_based,,,
9ec3bf1f-11cd-437a-873b-070782adac41,Mayr-Melnhof Karton AG,2016,2,,location_based,Nichtfinanzieller Bericht 2017,https://drive.google.com/file/d/1kc8SNxoKvqi4Vn6LQC2k0yoBWedTv6Am/view?usp=drive_link,
b1edabe8-5e61-4dfd-aecb-511bd98032d4,Lenzing AG,2017,3,1890000,,Nachhaltigkeitsbericht 2023,https://drive.google.com/file/d/1p5Pk6oDNMQly8ejfqTgxEP5n6AHPc7si/view?usp=drive_link,
c22f8205-c733-4127-a3f1-0f1962632e08,Wienerberger AG,2017,3,,,,,
6b5b5efa-67b1-4033-a5ec-d736605fff25,Uniqa Insurance Group AG,2017,2,,unclear,Nachhaltigkeitsbericht 2017,https://drive.google.com/file/d/1w1gPBXZGxKi_0hxOfi4gX9aHpwJZagA4/view?usp=drive_link,
96c1bcbc-ed68-4f67-a6f2-bfe3c2daf3c6,Uniqa Insurance Group AG,2017,2,4747,location_based,Nachhaltigkeitsbericht 2017,https://drive.google.com/file/d/1w1gPBXZGxKi_0hxOfi4gX9aHpwJZagA4/view?usp=drive_link,
2bc53a8a-93f8-40cd-82f9-6b6d9182304e,Andritz AG,2018,3,,,Andritz-Finanzbericht 2019,https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link,
329b0a20-682f-4282-9601-4838bff9bfaf,CA Immobilien Anlagen AG,2019,2,37638,location_based,Konzernlagebericht 2022,https://drive.google.com/file/d/1UA0ubBYCo33_haDn8VYWURhPSLeSY5vu/view?usp=drive_link,
41f93eae-01cf-4958-8e85-cdb72e87c7a8,Mayr-Melnhof Karton AG,2017,2,,market_based,Nichtfinanzieller Bericht 2020,https://drive.google.com/file/d/1iZ_G5rzy37pw8DPs9ufrhzisQkouxFk2/view?usp=drive_link,
4e05fd23-4267-4e92-86df-02fa973b890f,STRABAG SE,2017,3,,,Nichtfinanzieller Bericht 2019,https://drive.google.com/file/d/1R4rVYxjCYldzH1s9uSJPE_cn-keJwZwN/view?usp=drive_link,
47c7f6c0-4ec3-49eb-8a11-8af6093b2804,Andritz AG,2018,2,,market_based,Andritz-Finanzbericht 2019,https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link,
08ec5f9f-1b55-472d-b3a9-d016379fe7b9,Immofinanz AG,2018,3,103646,,nichtfinanzielle Erklärung 2019,https://drive.google.com/file/d/1EDUq3BqXe1pJEZS_J9wSwxKmjN6AiUGD/view?usp=drive_link,
98ff32c2-fd9e-46bf-af6f-880f8dd1fab7,Voestalpine AG,2017,2,,market_based,Corporate Responsibility Report 2021/22,https://drive.google.com/file/d/1HJxx2QfaG3m6YH7NkQsPC9asGXIfUrY4/view?usp=drive_link,
eb95397b-0291-470b-b961-c8e2bc681ff9,Vienna Insurance Group AG,2016,3,,,,,
1b5e62cf-570f-420a-9afa-1c4387de3cde,Immofinanz AG,2018,2,,unclear,nichtfinanzielle Erklärung 2019,https://drive.google.com/file/d/1EDUq3BqXe1pJEZS_J9wSwxKmjN6AiUGD/view?usp=drive_link,
8f69e67f-e944-4906-b7c0-99b2ce3458f1,Mayr-Melnhof Karton AG,2017,2,,unclear,Nichtfinanzieller Bericht 2020,https://drive.google.com/file/d/1iZ_G5rzy37pw8DPs9ufrhzisQkouxFk2/view?usp=drive_link,
dbdc68eb-f32d-4c6e-bc6f-0146e0dc6273,Wienerberger AG,2017,2,,market_based,,,
f15f0e32-9973-4609-ade4-a1604d8e3a64,Verbund AG,2016,3,255000,,integrierter Geschäftsbericht 2018,https://drive.google.com/file/d/1-jShgaeGgvs9cNMUZCT19Vj89GCb-9a-/view,
e62aee3b-124c-460a-bca2-3ca62d8f6535,Do & Co AG,2016,1,,,,,
05c301fd-acfa-40d8-8e61-f7aa1643e48d,Do & Co AG,2017,2,,location_based,,,
7c675339-675b-4103-bf09-5e4ce94b0037,EVN AG,2017,3,7224874,,Ganzheitsbericht 2018/19,https://drive.google.com/file/d/19YImxoT1iMkMv3yXnTWgrSWy1cFtG8fg/view?usp=drive_link,
13236122-b656-4b45-91ae-76e143e3be1b,Do & Co AG,2017,2,,unclear,,,
7fb841bc-90eb-4fb8-95bb-b3034d2f7cda,AT & S AG,2018,2,,market_based,Nichtfinanzieller Bericht 2019/20,https://drive.google.com/file/d/1nXc9V-PWOEOtScestA5QLZ29Y-c5damS/view?usp=drive_link,"Nachhaltigkeitsbereicht für Geschäftsjahr 2018/2019 fehlt, daher rückwirkende Daten aus NHK 2019/2020; 
Geschäftsjahr 2018/2019"
81223ede-7908-4055-b4cf-ab8a8d1e47a9,Andritz AG,2018,2,68365,unclear,Andritz-Finanzbericht 2019,https://drive.google.com/file/d/1QFMW7qOKMUxB7W1wZOGSuHxD9u9AoOhL/view?usp=drive_link,
b7f182af-59f3-404d-a031-2d0359149b9a,Voestalpine AG,2017,3,,,Corporate Responsibility Report 2021/22,https://drive.google.com/file/d/1HJxx2QfaG3m6YH7NkQsPC9asGXIfUrY4/view?usp=drive_link,
0011cc58-b11d-496c-8a87-7f5f06583157,OMV AG,2017,3,108000000,,Nachhaltigkeitsbericht 2021,https://drive.google.com/file/d/1hQ5O9uGl04sEQIl0mQcojDabb9PrSKo9/view?usp=drive_link,
b07ee1d9-7a44-444c-a9f1-eeefd196b759,STRABAG SE,2017,2,,market_based,Nichtfinanzieller Bericht 2019,https://drive.google.com/file/d/1R4rVYxjCYldzH1s9uSJPE_cn-keJwZwN/view?usp=drive_link,
29ef56ea-99f8-4983-ad78-b9e946b2c3dd,Immofinanz AG,2018,1,,,nichtfinanzielle Erklärung 2019,https://drive.google.com/file/d/1EDUq3BqXe1pJEZS_J9wSwxKmjN6AiUGD/view?usp=drive_link,
ed6ca5d4-60e2-4c1e-a6a7-9644b2f01bb8,Wienerberger AG,2017,2,,unclear,,,
2624af2a-c8c2-4f35-b036-798df6020dd7,Raiffeisen Bank International AG,2017,3,21226,,Nachhaltigkeitsbericht 2018,https://drive.google.com/file/d/1z76F_Fd_1N-AwWr_667vf1f8FCy4kzok/view?usp=drive_link,
2f5d6ef1-bc30-43aa-be7d-3e8bcb47d7db,Verbund AG,2017,3,378000,,integrierter Geschäftsbericht 2018,https://drive.google.com/file/d/1-jShgaeGgvs9cNMUZCT19Vj89GCb-9a-/view?usp=drive_link,
4c0fe635-04ac-48b5-a52a-527f4fa1f368,BAWAG Group AG,2017,3,1200,,CSR Report 2019,https://drive.google.com/file/d/1LKiivHOoV7xGMvXsRWW4UV269cJD1jxm/view?usp=drive_link,
ac87c765-72e6-466d-a030-764788815d65,Mayr-Melnhof Karton AG,2017,1,530000,,Nichtfinanzieller Bericht 2020,https://drive.google.com/file/d/1iZ_G5rzy37pw8DPs9ufrhzisQkouxFk2/view?usp=drive_link,
47504558-e9b5-4c5c-a0bd-d346e0dcef7e,Do & Co AG,2017,1,,,,,
