fid_1,GF,ARS,AGS,GEN,BEZ,BEM,NUTS,DEBKG_ID,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
10926,4,160755013129,16075129,Krölpa,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DWXU,11.47,3.86,3037.77,26486.3,87,2251
10925,4,160755013127,16075127,Ziegenrück,Stadt,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DVZC,1.01,1.49,47.65,4733.05,10,673
10924,4,160755013125,16075125,Wilhelmsdorf,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DWXT,15.95,1.82,578.5,3626.33,5,274
10923,4,160755013103,16075103,Seisla,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DXY1,1.06,3.2,22.4,2106.18,4,125
10922,4,160755013102,16075102,Schöndorf,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DWTU,1.14,1.04,64.61,5643.93,5,482
10921,4,160755013101,16075101,Schmorda,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DY3X,9.07,6.54,115.48,1273.22,7,107
10920,4,160755013088,16075088,Ranis,Stadt,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DXY0,2.79,4.02,313.38,11213.25,42,1045
10919,4,160755013081,16075081,Peuschen,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DYAI,1.06,2.57,58.18,5497.33,10,389
10918,4,160755013079,16075079,Paska,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DVZB,2.01,1.27,32.6,1618.3,2,157
10917,4,160755013069,16075069,Moxa,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DW3V,0.45,1.23,7.44,1667.56,1,81
10916,4,160755013047,16075047,Keila,Gemeinde,gemeinschaftsangehörig,DEG0K,DEBKGDL20000DXSJ,,,,1103.59,,78
